feed_tag,source,title,link,published_iso,summary
nature-biotech,Biotechnology : nature.com subject feeds,Honeybee associated Aspergillus niger AW17 as a source of selective anticancer compounds with cytotoxicity evaluation in human cancer cell lines,https://www.nature.com/articles/s41598-025-18565-y,2025-09-12T00:00:00Z,
nature-biotech,Biotechnology : nature.com subject feeds,Implementation of nanographene oxide combined with mineral trioxide aggregate and hydroxyapatite biopolymer in regeneration of critical-sized bone defect in rats,https://www.nature.com/articles/s41598-025-17233-5,2025-09-12T00:00:00Z,
nature-biotech,Biotechnology : nature.com subject feeds,Matrix directs trophoblast differentiation in a bioprinted organoid model of early placental development,https://www.nature.com/articles/s41467-025-62996-0,2025-09-12T00:00:00Z,
nature-biotech,Biotechnology : nature.com subject feeds,In vivo tibialis anterior muscle mechanics through force estimation using ankle joint moment and shear wave elastography,https://www.nature.com/articles/s41598-025-18292-4,2025-09-12T00:00:00Z,
nature-biotech,Biotechnology : nature.com subject feeds,Generating structurally and functionally programmable hydrogels by biological membrane hybridization,https://www.nature.com/articles/s41596-025-01247-4,2025-09-12T00:00:00Z,
nature-biotech,Biotechnology : nature.com subject feeds,Marine-derived peptides from Rapana venosa inhibit breast cancer cell growth through synergistic mechanisms with doxorubicin,https://www.nature.com/articles/s41598-025-18052-4,2025-09-12T00:00:00Z,
nature-biotech,Biotechnology : nature.com subject feeds,Impact of titanium nanoparticles on germination and early growth of faba bean (Vicia faba L.),https://www.nature.com/articles/s41598-025-18071-1,2025-09-12T00:00:00Z,
nature-biotech,Biotechnology : nature.com subject feeds,Characterization and optimization of biogenic copper nanoparticles synthesized by Pseudomonas putida with cytocompatibility investigation,https://www.nature.com/articles/s41598-025-17705-8,2025-09-12T00:00:00Z,
nature-biotech,Biotechnology : nature.com subject feeds,Broad-spectrum bioactivities and therapeutic potential of essential oils of certain aromatic and medicinal plants and their combination,https://www.nature.com/articles/s41598-025-18314-1,2025-09-12T00:00:00Z,
nature-biotech,Biotechnology : nature.com subject feeds,Exploring the potential of hydro alcoholic crude extract of beeswax as antibacterial antifungal antiviral antiinflammatory and antioxidant agent,https://www.nature.com/articles/s41598-025-17830-4,2025-09-12T00:00:00Z,
nature-biotech,Biotechnology : nature.com subject feeds,"Labeling, isolation and characterization of cell-type-specific exosomes derived from mouse skin tissue",https://www.nature.com/articles/s41596-025-01238-5,2025-09-12T00:00:00Z,
nature-biotech,Biotechnology : nature.com subject feeds,An applied study to improve Le-Conte pear productivity and quality using potassium humate with hydrogen peroxide or irradiated licorice extract,https://www.nature.com/articles/s41598-025-16287-9,2025-09-12T00:00:00Z,
nature-biotech,Biotechnology : nature.com subject feeds,Sequential factor delivery enables efficient workflow for universal gene editing in clinical grade iPS cells,https://www.nature.com/articles/s41598-025-17876-4,2025-09-12T00:00:00Z,
nature-biotech,Biotechnology : nature.com subject feeds,Joint profiling of chromatin accessibility and CRISPR edits via double-stranded DNA deaminases,https://www.nature.com/articles/s41592-025-02812-1,2025-09-11T00:00:00Z,
nature-biotech,Biotechnology : nature.com subject feeds,Efficient denitrification and N2O mitigation in low-C/N wastewater treatment by promoting TCA cycle anaplerosis via glyoxylate shunt regulation,https://www.nature.com/articles/s44221-025-00501-z,2025-09-11T00:00:00Z,
nature-biotech,Biotechnology : nature.com subject feeds,Biophysics-based protein language models for protein engineering,https://www.nature.com/articles/s41592-025-02776-2,2025-09-11T00:00:00Z,
nature-biotech,Biotechnology : nature.com subject feeds,Coupling CRISPR scanning with targeted chromatin accessibility profiling using a double-stranded DNA deaminase,https://www.nature.com/articles/s41592-025-02811-2,2025-09-11T00:00:00Z,
